FOVId,CellId,this_cell_index,cell_stage,edge_flag,ChannelNumberBrightfield,ChannelNumberStruct,fov_path,fov_seg_path
37,232315,1,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232317,3,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232318,4,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232319,5,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232320,6,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232321,7,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232324,10,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232326,12,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232328,14,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232329,15,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232330,16,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232331,17,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232340,26,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232341,27,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232342,28,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232349,35,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
37,232359,45,M0,0,3,1,fov_path/a41342405c892a3b07caa599614145b0932b11db704fc06dc3d31ccb5d01a6fe_3500000635_100X_20170227_F06_P30.ome.tiff,fov_seg_path/b3f4f2bc8ef6b049a47adca30626893559b9b1f52f7407bf3a4ae1b48bf472fb_3500000635_100X_20170227_F06_P30_CellNucSegCombined.ome.tiff
40,232367,3,M0,0,3,1,fov_path/591d5ec76d972db6940a94ea8ca6e565452cbc1e9d6f0ba0335106bd8f5aafea_3500000635_100X_20170227_E08_P12.ome.tiff,fov_seg_path/ded97e6fcbd240a92e091c77cb11f36930760663d4b721f192c2657df1e17b3e_3500000635_100X_20170227_E08_P12_CellNucSegCombined.ome.tiff
40,232368,4,M0,0,3,1,fov_path/591d5ec76d972db6940a94ea8ca6e565452cbc1e9d6f0ba0335106bd8f5aafea_3500000635_100X_20170227_E08_P12.ome.tiff,fov_seg_path/ded97e6fcbd240a92e091c77cb11f36930760663d4b721f192c2657df1e17b3e_3500000635_100X_20170227_E08_P12_CellNucSegCombined.ome.tiff
40,232369,5,M0,0,3,1,fov_path/591d5ec76d972db6940a94ea8ca6e565452cbc1e9d6f0ba0335106bd8f5aafea_3500000635_100X_20170227_E08_P12.ome.tiff,fov_seg_path/ded97e6fcbd240a92e091c77cb11f36930760663d4b721f192c2657df1e17b3e_3500000635_100X_20170227_E08_P12_CellNucSegCombined.ome.tiff
40,232370,6,M0,0,3,1,fov_path/591d5ec76d972db6940a94ea8ca6e565452cbc1e9d6f0ba0335106bd8f5aafea_3500000635_100X_20170227_E08_P12.ome.tiff,fov_seg_path/ded97e6fcbd240a92e091c77cb11f36930760663d4b721f192c2657df1e17b3e_3500000635_100X_20170227_E08_P12_CellNucSegCombined.ome.tiff
40,232371,7,M0,0,3,1,fov_path/591d5ec76d972db6940a94ea8ca6e565452cbc1e9d6f0ba0335106bd8f5aafea_3500000635_100X_20170227_E08_P12.ome.tiff,fov_seg_path/ded97e6fcbd240a92e091c77cb11f36930760663d4b721f192c2657df1e17b3e_3500000635_100X_20170227_E08_P12_CellNucSegCombined.ome.tiff
